,1950,1960,1970,1980,1990,2000,2010
Blues,0.041666666666666664,0.04700854700854701,0.04857142857142857,0.04892966360856269,0.078125,0.11788617886178862,0.14516129032258066
Jazz,0.109375,0.038461538461538464,0.014285714285714285,0.01834862385321101,0.00625,0.016260162601626018,0.03225806451612903
Pop,0.3020833333333333,0.26495726495726496,0.23714285714285716,0.26299694189602446,0.25,0.25609756097560976,0.2903225806451613
Rock,0.15104166666666666,0.24358974358974358,0.22285714285714286,0.25688073394495414,0.19375,0.18699186991869918,0.22580645161290322
Country,0.13541666666666666,0.07692307692307693,0.05142857142857143,0.021406727828746176,0.0125,0.016260162601626018,0.016129032258064516
R&B and soul,0.0625,0.07692307692307693,0.08285714285714285,0.07951070336391437,0.0875,0.10975609756097561,0.14516129032258066
Comedy,0.005208333333333333,,,0.0030581039755351682,0.003125,,
Easy listening,0.10416666666666667,0.02564102564102564,0.002857142857142857,,,,
Folk,0.046875,0.1623931623931624,0.16857142857142857,0.06116207951070336,0.0375,0.008130081300813009,
Latin,0.03125,0.03418803418803419,0.03142857142857143,0.01834862385321101,0.025,0.028455284552845527,
Caribbean and Caribbean-influenced,0.010416666666666666,,0.002857142857142857,0.01529051987767584,0.01875,0.008130081300813009,0.016129032258064516
Electronic,,0.021367521367521368,0.09714285714285714,0.16819571865443425,0.1125,0.1016260162601626,0.03225806451612903
Avant-garde,,0.004273504273504274,0.011428571428571429,0.009174311926605505,,,
Heavy metal,,0.004273504273504274,0.017142857142857144,0.01834862385321101,0.025,0.016260162601626018,
Hip hop,,,0.005714285714285714,0.009174311926605505,0.096875,0.10569105691056911,0.08064516129032258
Punk rock,,,0.002857142857142857,0.0030581039755351682,0.009375,0.012195121951219513,
House,,,0.002857142857142857,0.0061162079510703364,0.04375,0.016260162601626018,0.016129032258064516
